Biomolecule,Algorithm,PVal
C7H6O4[M]+,Binning,0.0144445406561324
C7H6O4[M]+,MultiOtsu,0.0086472507070738
C7H6O4[M]+,PyTorch,2.52052199883583e-10
C15H20O4[M]+,Truth,0.809337804702235
C15H20O4[M]+,Clara,0.135610708993158
C15H20O4[M]+,KCC,0.340400921591942
C15H20O4[M]+,KMeans,0.340400921591942
C15H20O4[M]+,Recolorize,0.653545409187617
C15H20O4[M]+,Supercells,0.162835017674082
C15H20O4[M]+,Binning,0.747320707439569
C15H20O4[M]+,MultiOtsu,0.293694937602593
C15H20O4[M]+,PyTorch,0.86726709092375
C5H10S2[M]+,Truth,0.0992954849161241
C5H10S2[M]+,Clara,0.75045799209066
C5H10S2[M]+,KCC,0.974117989240525
C5H10S2[M]+,KMeans,0.974117989240525
C5H10S2[M]+,Recolorize,0.196256031318875
C5H10S2[M]+,Supercells,0.846409879659159
C5H10S2[M]+,Binning,0.320358270509008
C5H10S2[M]+,MultiOtsu,0.904693713703142
C5H10S2[M]+,PyTorch,0.0708530025688348
C4H5N+Na,Truth,0.231539961689533
C4H5N+Na,Clara,0.800444988403729
C4H5N+Na,KCC,0.69012850728191
C4H5N+Na,KMeans,0.69012850728191
C4H5N+Na,Recolorize,0.075100687500225
C4H5N+Na,Supercells,0.0977907761641346
C4H5N+Na,Binning,0.0991666020457869
C4H5N+Na,MultiOtsu,0.794121156526896
C4H5N+Na,PyTorch,0.265055330004019
C5H5NO2+Na,Truth,0.0889726882425705
C5H5NO2+Na,Clara,0.7863794546611
C5H5NO2+Na,KCC,0.99424991635537
C5H5NO2+Na,KMeans,0.99424991635537
C5H5NO2+Na,Recolorize,0.202567950833762
C5H5NO2+Na,Supercells,0.835610341924209
C5H5NO2+Na,Binning,0.326364459033525
C5H5NO2+Na,MultiOtsu,0.902767637435316
C5H5NO2+Na,PyTorch,0.0712728613314377
C10H20N2O4+K,Truth,0.818926550668963
C10H20N2O4+K,Clara,0.800759532260726
C10H20N2O4+K,KCC,0.990767276874619
C10H20N2O4+K,KMeans,0.990767276874619
C10H20N2O4+K,Recolorize,0.529352622134845
C10H20N2O4+K,Supercells,0.00290409229240666
C10H20N2O4+K,Binning,0.315567337737288
C10H20N2O4+K,MultiOtsu,0.775308722550043
C10H20N2O4+K,PyTorch,0.915508571675593
C9H14N2O7[M]+,Truth,0.0815056795791163
C9H14N2O7[M]+,Clara,0.00136703809086612
C9H14N2O7[M]+,KCC,0.0161919012024225
C9H14N2O7[M]+,KMeans,0.0161919012024225
C9H14N2O7[M]+,Recolorize,0.0238117788352046
C9H14N2O7[M]+,Supercells,0.215767314224033
C9H14N2O7[M]+,Binning,0.0241125786236956
C9H14N2O7[M]+,MultiOtsu,0.01846330765705
C9H14N2O7[M]+,PyTorch,0.0047093185995017
C18H36O2[M]+,Truth,0.0063219349019432
C18H36O2[M]+,Clara,0.008292896049393
C18H36O2[M]+,KCC,0.0126056118987132
C18H36O2[M]+,KMeans,0.0126056118987132
C18H36O2[M]+,Recolorize,0.402246759252799
C18H36O2[M]+,Supercells,0.00501454039617859
C18H36O2[M]+,Binning,0.541887227335623
C18H36O2[M]+,MultiOtsu,0.00645902581440632
C18H36O2[M]+,PyTorch,0.0278399215083894
C13H18N2O4[M]+,Truth,0.497028812669089
C13H18N2O4[M]+,Clara,0.233199830802957
C13H18N2O4[M]+,KCC,0.442759636821761
C13H18N2O4[M]+,KMeans,0.442759636821761
C13H18N2O4[M]+,Recolorize,0.0466283203053783
C13H18N2O4[M]+,Supercells,0.968898634254753
C13H18N2O4[M]+,Binning,0.221686575860594
C13H18N2O4[M]+,MultiOtsu,0.318792336177963
C13H18N2O4[M]+,PyTorch,0.0828619335837369
C13H16N2O4[M]+,Truth,0.00280893324538492
C13H16N2O4[M]+,Clara,0.960705757304968
C13H16N2O4[M]+,KCC,0.420409199344629
C13H16N2O4[M]+,KMeans,0.420409199344629
C13H16N2O4[M]+,Recolorize,0.698968397388542
C13H16N2O4[M]+,Supercells,0.76002854804772
C13H16N2O4[M]+,Binning,0.0549777852420358
C13H16N2O4[M]+,MultiOtsu,0.494963454683174
C13H16N2O4[M]+,PyTorch,0.0028270207616474
C10H16N2O8[M]+,Truth,0.0503140454689959
C10H16N2O8[M]+,Clara,0.631123559717508
