Biomolecule,Algorithm,PVal
C5H5NO2+Na,KCC,0.246371188263412
C5H5NO2+Na,KMeans,0.246371188263412
C5H5NO2+Na,Recolorize,0.000180269632726065
C5H5NO2+Na,Supercells,0.170888402598085
C5H5NO2+Na,Binning,0.00203880933514043
C5H5NO2+Na,MultiOtsu,0.372145780566326
C5H5NO2+Na,PyTorch,0.429567748857665
C10H20N2O4+K,Truth,0.770179670258082
C10H20N2O4+K,Clara,0.0105256922741652
C10H20N2O4+K,KCC,0.0287465295121651
C10H20N2O4+K,KMeans,0.0287465295121651
C10H20N2O4+K,Recolorize,0.0821923382912878
C10H20N2O4+K,Supercells,0.00204103355305562
C10H20N2O4+K,Binning,0.0119765851550168
C10H20N2O4+K,MultiOtsu,0.0144204811380316
C10H20N2O4+K,PyTorch,0.77339713506227
C9H14N2O7[M]+,Truth,0.0617482013664821
C9H14N2O7[M]+,Clara,0.00552097276881693
C9H14N2O7[M]+,KCC,0.01525732548571
C9H14N2O7[M]+,KMeans,0.01525732548571
C9H14N2O7[M]+,Recolorize,0.0685170062470774
C9H14N2O7[M]+,Supercells,0.240436022621181
C9H14N2O7[M]+,Binning,0.0432818285975724
C9H14N2O7[M]+,MultiOtsu,0.0230749890203959
C9H14N2O7[M]+,PyTorch,0.0342241010950784
C18H36O2[M]+,Truth,0.109034766846531
C18H36O2[M]+,Clara,0.0396372229866019
C18H36O2[M]+,KCC,0.0321505335048576
C18H36O2[M]+,KMeans,0.0321505335048576
C18H36O2[M]+,Recolorize,0.060924570195512
C18H36O2[M]+,Supercells,0.114963899820435
C18H36O2[M]+,Binning,0.172946291419241
C18H36O2[M]+,MultiOtsu,0.0213694269910212
C18H36O2[M]+,PyTorch,0.50463524998497
C13H18N2O4[M]+,Truth,3.97195171122797e-07
C13H18N2O4[M]+,Clara,5.43452764235799e-07
C13H18N2O4[M]+,KCC,1.30758251631474e-06
C13H18N2O4[M]+,KMeans,1.30758251631474e-06
C13H18N2O4[M]+,Recolorize,0.000286843543308587
C13H18N2O4[M]+,Supercells,3.37615210624962e-06
C13H18N2O4[M]+,Binning,0.000110077765370705
C13H18N2O4[M]+,MultiOtsu,2.51775116557992e-06
C13H18N2O4[M]+,PyTorch,1.53663152323438e-09
C13H16N2O4[M]+,Truth,5.78101736906736e-16
C13H16N2O4[M]+,Clara,0.971663562837979
C13H16N2O4[M]+,KCC,0.170567852288835
C13H16N2O4[M]+,KMeans,0.170567852288835
C13H16N2O4[M]+,Recolorize,0.267804940188301
C13H16N2O4[M]+,Supercells,0.638466363133284
C13H16N2O4[M]+,Binning,0.0365730572209161
C13H16N2O4[M]+,MultiOtsu,0.222091966474322
C13H16N2O4[M]+,PyTorch,2.22597509933818e-14
C10H16N2O8[M]+,Truth,0.00476441582364841
C10H16N2O8[M]+,Clara,0.60292066031087
C10H16N2O8[M]+,KCC,0.0773809008351797
C10H16N2O8[M]+,KMeans,0.0773809008351797
C10H16N2O8[M]+,Recolorize,0.0095278158297752
C10H16N2O8[M]+,Supercells,0.810104949997371
C10H16N2O8[M]+,Binning,0.0254137056490941
C10H16N2O8[M]+,MultiOtsu,0.106169028318882
C10H16N2O8[M]+,PyTorch,0.0275543898929736
C14H14O6[M]+,Truth,0.0576272782335528
C14H14O6[M]+,Clara,0.000451343742823572
C14H14O6[M]+,KCC,0.0015404657850948
C14H14O6[M]+,KMeans,0.0015404657850948
C14H14O6[M]+,Recolorize,0.583607809298364
C14H14O6[M]+,Supercells,0.0185126116746627
C14H14O6[M]+,Binning,0.427953434065402
C14H14O6[M]+,MultiOtsu,0.00305132538096733
C14H14O6[M]+,PyTorch,0.000810224019608518
C20H30O2[M]+,Truth,3.85583040251762e-05
C20H30O2[M]+,Clara,0.0157263495894697
C20H30O2[M]+,KCC,0.257367193849423
C20H30O2[M]+,KMeans,0.257367193849423
C20H30O2[M]+,Recolorize,0.48108534988003
C20H30O2[M]+,Supercells,0.0037862614579993
C20H30O2[M]+,Binning,0.14491948229008
C20H30O2[M]+,MultiOtsu,0.117902030096608
C20H30O2[M]+,PyTorch,8.61618180310025e-15
C5H10N2O3[M]+,Truth,0.27152665176254
C5H10N2O3[M]+,Clara,0.224690947635376
C5H10N2O3[M]+,KCC,0.231318091854886
C5H10N2O3[M]+,KMeans,0.231318091854886
C5H10N2O3[M]+,Recolorize,0.168957166000397
C5H10N2O3[M]+,Supercells,0.717479733902371
C5H10N2O3[M]+,Binning,0.0952985245836191
C5H10N2O3[M]+,MultiOtsu,0.132998493228938
C5H10N2O3[M]+,PyTorch,0.335845069937553
C5H10N2O[M]+,Truth,9.03750966396174e-05
C5H10N2O[M]+,Clara,0.00227750048292915
C5H10N2O[M]+,KCC,0.0442578573702267
C5H10N2O[M]+,KMeans,0.0442578573702267
C5H10N2O[M]+,Recolorize,0.201695106152191
C5H10N2O[M]+,Supercells,0.761150657077848
C5H10N2O[M]+,Binning,0.0311467030525392
C5H10N2O[M]+,MultiOtsu,0.0292766740451702
C5H10N2O[M]+,PyTorch,3.14492848791905e-06
C17H20N2O2+H,Truth,0.0432381157303988
C17H20N2O2+H,Clara,0.00303028246118101
C17H20N2O2+H,KCC,0.076552684352651
C17H20N2O2+H,KMeans,0.076552684352651
C17H20N2O2+H,Recolorize,0.550407854567584
